00	77.21	1.72
01	118.63	1.77
02	141.37	1.69
03	125.40	1.78
04	152.25	1.90
05	176.42	2.08
06	143.42	1.28
07	148.96	1.46
08	175.44	1.59
09	191.67	1.74
10	170.84	1.92
11	174.31	1.11
12	201.85	1.36
13	188.04	1.50
14	206.87	1.07
15	179.34	1.14
16	198.84	1.05
17	214.96	1.07
18	181.55	1.10
19	206.97	1.02
20	197.74	1.12
21	167.14	1.09
22	211.36	1.10
23	175.58	1.12
24	158.39	1.12
25	206.60	1.04
26	188.48	1.11
27	202.24	1.07
28	189.53	1.10
29	182.70	1.08
30	200.51	1.05
31	182.79	1.11
32	192.83	1.06
33	182.20	1.04
34	180.33	1.07
35	198.10	1.10
36	147.38	1.13
37	179.85	1.07
38	165.28	1.11
39	191.13	1.01
40	182.33	1.06
41	190.13	1.05
42	204.52	1.09
43	188.00	1.08
44	176.72	1.07
45	175.43	1.06
46	171.27	1.09
47	171.81	1.11
48	144.35	1.81
49	176.25	1.64
50	173.57	1.53
51	169.05	1.35
52	172.95	25.45
53	178.83	1.90
54	144.17	1.76
55	151.75	1.57
56	147.36	1.49
57	192.92	33.08
58	171.63	1.94
59	157.17	1.81
60	152.36	1.74
61	125.23	1.75
62	137.98	33.40
63	98.96	6.93
